tweet id,time of tweet,user id,text
1.54539E+18,2022-07-08 12:47:41+00:00,1.34432E+18,"#BREAKING #NEWS: U.S. Residents Can Now Buy Ripple (XRP) Using Credit Card And ApplePay

#XRPL #XRPLcommunity… https://t.co/8AwNcGdOHn"
1.54529E+18,2022-07-08 06:32:21+00:00,2698372540,#QQQ on the 5m and 15m. If #AMZN and #APPL runs - so will #QQQ. https://t.co/1x9QEJWQ0R
1.54528E+18,2022-07-08 05:33:21+00:00,7.00717E+17,Love ❤️ #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA💎💵 https://t.co/oDuzBkRAVR
1.54528E+18,2022-07-08 05:31:50+00:00,7.00717E+17,See you in New Block City. Love ❤️ #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA💎💵 $CINU https://t.co/6y3IgTNuhW
1.54528E+18,2022-07-08 05:28:52+00:00,7.00717E+17,The Avatars for New Block City will be NEW! Coming soon…👀 #cheems #AITX #KISHU #MemeTech #cro  💹💰💸🤑 Love ❤️ #AITX… https://t.co/fyeLM8M2al
1.54528E+18,2022-07-08 05:28:15+00:00,7.00717E+17,Take a look at some of these amazing details on New Block City’s gameplay!  Love ❤️ #AITX #ai #APPL #MSFT #cheems… https://t.co/0aBoiGT1H8
1.54528E+18,2022-07-08 05:25:46+00:00,7.00717E+17,Love ❤️ #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA💎💵 https://t.co/BzQo13lGeY
1.54518E+18,2022-07-07 23:08:32+00:00,1.41225E+18,"HEAT MAP-US major Index / Stocks (2022.07.07) 

https://t.co/wkb8iQCmNb 

#米国株 #ヒートマップ #株式投資 #米国株投資 #米国株ヒートマップ… https://t.co/nZ5t93o5x5"
1.54516E+18,2022-07-07 21:55:41+00:00,2725496807,@MarketRebels #appl calls
1.54516E+18,2022-07-07 21:52:29+00:00,262510780,"🎯 nailed it

$SPY was grinding up all day, bounced off resistance. It is still within the bear flag but can go eith… https://t.co/FL6yrXXcuo"
1.54512E+18,2022-07-07 19:00:02+00:00,1.46609E+18,"https://t.co/t6kVcSK6IH

Stock market:
$PRX.AS +7.38% 📈
$TSM +6.65% 📈
$ETH +6.24% 📈
$AMD +5.59% 📈

$BMY -1.13% 📉… https://t.co/c1ddnndzDd"
1.5451E+18,2022-07-07 17:44:57+00:00,1.45294E+18,And we go up more...calls en fuego🚀#APPL #StockMarket
1.54509E+18,2022-07-07 17:10:46+00:00,7.00717E+17,@1goonrich @cryptocom Yes! I like those! Love ❤️ #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA💎💵
1.54509E+18,2022-07-07 16:57:53+00:00,1.35506E+18,"Currently you get rewarded for shorting #NIO #TSLA #APPL etc 
That is fuk'd.  Market is preparing for a tech run up… https://t.co/wVj79K2bOP"
1.54507E+18,2022-07-07 15:49:48+00:00,7.96775E+17,A Vintage Bedroom smart control? you don’t wanna miss with the classic feel but still get ultimate Modern Technolog… https://t.co/juhmhzWw70
1.54506E+18,2022-07-07 15:00:07+00:00,1.46609E+18,"https://t.co/t6kVcSsvk7

Stock market:
$ETH +7.25% 📈
$TSM +6.5% 📈
$PRX.AS +6.33% 📈
$QCOM +4.79% 📈

$ABBV -1.01% 📉
$… https://t.co/ydiUs16xiv"
1.5448E+18,2022-07-06 22:03:30+00:00,1.41225E+18,"HEAT MAP-US major Index / Stocks (2022.07.06) 

https://t.co/wkb8iQUw1j 

#米国株 #ヒートマップ #株式投資 #米国株投資 #米国株ヒートマップ… https://t.co/CPu8u0pkSr"
1.54479E+18,2022-07-06 20:47:41+00:00,7.00717E+17,"Which one will you BUY and HODL and can make you Rich? 👀🤔 
#cheems 
#AITX 
#KISHU #MemeTech 
#cro  💹💰💸🤑 Love ❤️… https://t.co/IlYCMGYAoI"
1.54479E+18,2022-07-06 20:47:37+00:00,7.00717E+17,@1goonrich Love ❤️ #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA💎💵
1.54457E+18,2022-07-06 06:35:19+00:00,7.00717E+17,Love ❤️ #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA💎💵 https://t.co/DRO4BiPHSc
1.54457E+18,2022-07-06 06:34:51+00:00,7.00717E+17,@LonelyMoonCoin I’m ready! Love ❤️ #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA💎💵
1.54456E+18,2022-07-06 06:07:27+00:00,7.00717E+17,@gandalfcryptto Love ❤️ #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA💎💵
1.54455E+18,2022-07-06 05:01:38+00:00,7.00717E+17,@jesmotril @CheemsInu Same! Love ❤️ #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA💎💵
1.54454E+18,2022-07-06 04:45:04+00:00,7.00717E+17,Love ❤️ #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA💎💵 https://t.co/xU3wKADgOi
1.54454E+18,2022-07-06 04:44:49+00:00,7.00717E+17,@BabyCatCoin @cz_binance Love ❤️ #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA💎💵
1.54454E+18,2022-07-06 04:38:05+00:00,7.00717E+17,@Heatherfernsby #bull Love ❤️ #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA💎💵
