tweet id,time of tweet,user_id,text
1545164195074916360,2022-07-07 21:53:46+00:00,893305069059403776,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/b3VmX21sEW
1545162462416207877,2022-07-07 21:46:53+00:00,1411710448366465030,When do we expect a dip? $GOOG $OXY $RBLX $SHOP #GOOG #OXY #RBLX #SHOP #stockmarket #finance #vaccineinjuries… https://t.co/squuhbJtvw
1545156645038309379,2022-07-07 21:23:46+00:00,893305069059403776,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/b3VmX21sEW
1545154335331328000,2022-07-07 21:14:35+00:00,887754279125221378,"$GOOG #GOOG Updated chart from last week. 

Target hit below (orange square) at the ascending triangle support zone… https://t.co/3UspTPzY8G"
1545137651400855552,2022-07-07 20:08:18+00:00,766704541723090948,"What a day! My Secret Service Trade Alerts (DM me for more info) longed $AAPL &amp; $MSFT last week, $AMZN y’day. Parti… https://t.co/GLcfcMTHRn"
1545122123328458752,2022-07-07 19:06:35+00:00,1495351200258084866,"#GOOG the Aroon indicator is bullish
https://t.co/fspGDcGjBX"
1545080090782240768,2022-07-07 16:19:34+00:00,1409532712117936130,@Solid_Snake_1_8 Oh say ######goog
1545058500828508161,2022-07-07 14:53:47+00:00,893305069059403776,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/uiYK1S3vca
1545029251086295040,2022-07-07 12:57:33+00:00,1105066214747824128,"Casdin Partners Master. (10% Owner) sold 3,235,550 shares of #MXCT (MAXCYTE, INC.) @ ~$4.3

Schindler Philipp (SVP,… https://t.co/8vOZBYjcbf"
1544960352097603584,2022-07-07 08:23:46+00:00,893305069059403776,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/GfnAhDFi5p
1544906002402869249,2022-07-07 04:47:48+00:00,1411710448366465030,When do we expect a dip? $DIS $F $GOOG $OXY #DIS #F #GOOG #OXY #analysis #hololiveALT #zarahaddinibil #AzerbaijanGP https://t.co/xfEsG6xXCW
1544871380063522816,2022-07-07 02:30:13+00:00,955686247825108992,"#Google #GOOG #TechnicalIndicator Market Types (MT) 
-0.8655 | Extreme Fear 

View interactive details:… https://t.co/7B7D2VINB5"
1544862203999830016,2022-07-07 01:53:46+00:00,893305069059403776,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/kzfaGNconY
1544787246439485440,2022-07-06 20:55:54+00:00,1503716649647501313,"Another big day...today put us over 6 digits on the week‼️ 📈$SPX $NQ $ES $SPY $QQQ $GOOG📈
Stay focused on your SYST… https://t.co/mz8W6jjYex"
1544771607947796481,2022-07-06 19:53:46+00:00,893305069059403776,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/90YTYTO05W
1544764061941891072,2022-07-06 19:23:47+00:00,893305069059403776,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/siFRUzgdZb
1544679842913947650,2022-07-06 13:49:07+00:00,1457368047598047235,"$GOOG Alphabet Inc.: Reference Price 2872.03, 1 Year Prediction 2895.55, Potential 1.0%, #GOOG"
1544673464044425219,2022-07-06 13:23:47+00:00,893305069059403776,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/wiNRxP77rC
1544665912250359808,2022-07-06 12:53:46+00:00,893305069059403776,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/q0yChXWLr0
1544567766455406592,2022-07-06 06:23:46+00:00,893305069059403776,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/8fMLTfKme7
1544508993720070144,2022-07-06 02:30:14+00:00,955686247825108992,"#Google #GOOG #TechnicalIndicator Market Types (MT) 
-1.0360 | Extreme Fear 

View interactive details:… https://t.co/DPHBNHsNSr"
1544477167089848326,2022-07-06 00:23:46+00:00,893305069059403776,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/wiNRxP77rC
1544469618491793408,2022-07-05 23:53:46+00:00,893305069059403776,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/U3kcQKRRfC
1544395699437162496,2022-07-05 19:00:02+00:00,1466094669478125569,"https://t.co/t6kVcSK6IH

Stock market:
$META +4.48% 📈
$GOOG +4.05% 📈
$AMZN +3.65% 📈
$PRX.AS +3.25% 📈

$SHEL -7.31%… https://t.co/wMEDKWOdcC"
1544379023568117761,2022-07-05 17:53:47+00:00,893305069059403776,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/Gi6bxZ0VMi
1544371474013855744,2022-07-05 17:23:47+00:00,893305069059403776,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/xh5qcwN2JA
