tweet id,time of tweet,user_id,text
1545189547297742848,2022-07-07 23:34:30+00:00,1431706268670959618,#Polygon Joins #Solana in Bringing #Web3 to #Smartphones - #coindesk #btc #itsmegabe #yupitsmegabe #eth   #Bitcoin… https://t.co/PaFYDlfuV8
1545165776784658436,2022-07-07 22:00:03+00:00,1323280062,One Bitcoin now worth $21656.610. Market Cap $413.377 Billion. Based on #coindesk BPI #bitcoin
1545135578798342146,2022-07-07 20:00:03+00:00,1323280062,One Bitcoin now worth $21807.623. Market Cap $416.258 Billion. Based on #coindesk BPI #bitcoin
1545124849441509378,2022-07-07 19:17:25+00:00,469277607,Here's my take after reading #bitcoin white paper all over again. I am not a cryptocurrency critic but I think thes… https://t.co/3FcLNoyYm4
1545122572139827200,2022-07-07 19:08:22+00:00,340070780,Galaxy Digital Hires Credit Suisse Veteran as Global Head of Distribution #coindesk #bitcoin #crypto https://t.co/2nRUNZGLCP
1545105376596692993,2022-07-07 18:00:03+00:00,1323280062,One Bitcoin now worth $20886.615. Market Cap $398.677 Billion. Based on #coindesk BPI #bitcoin
1545081376143069185,2022-07-07 16:24:40+00:00,310483039,Bank of England to announce crypto regulation https://t.co/smGG9pvDUH #Technology #BankofEngland #Coindesk… https://t.co/fXmGsTGzMW
1545075179583377409,2022-07-07 16:00:03+00:00,1323280062,One Bitcoin now worth $20875.246. Market Cap $398.457 Billion. Based on #coindesk BPI #bitcoin
1545044981823332356,2022-07-07 14:00:03+00:00,1323280062,One Bitcoin now worth $20509.619. Market Cap $391.477 Billion. Based on #coindesk BPI #bitcoin
1545014778883702787,2022-07-07 12:00:02+00:00,1323280062,One Bitcoin now worth $20476.450. Market Cap $390.842 Billion. Based on #coindesk BPI #bitcoin
1544984580494688256,2022-07-07 10:00:03+00:00,1323280062,One Bitcoin now worth $20532.374. Market Cap $391.908 Billion. Based on #coindesk BPI #bitcoin
1544954382617387010,2022-07-07 08:00:03+00:00,1323280062,One Bitcoin now worth $20428.594. Market Cap $389.926 Billion. Based on #coindesk BPI #bitcoin
1544924182256959488,2022-07-07 06:00:03+00:00,1323280062,One Bitcoin now worth $20262.363. Market Cap $386.751 Billion. Based on #coindesk BPI #bitcoin
1544893985067618305,2022-07-07 04:00:03+00:00,1323280062,One Bitcoin now worth $20457.190. Market Cap $390.467 Billion. Based on #coindesk BPI #bitcoin
1544863787622211585,2022-07-07 02:00:03+00:00,1323280062,One Bitcoin now worth $20493.635. Market Cap $391.162 Billion. Based on #coindesk BPI #bitcoin
1544844825123381248,2022-07-07 00:44:42+00:00,340070780,"Solana Labs, Multicoin Accused of Violating Securities Law by SOL Investor #coindesk #bitcoin #crypto https://t.co/ZROyTA0bcK"
1544843247205249024,2022-07-07 00:38:26+00:00,340070780,Animoca Brands Leads $32M Funding Round for Planetarium Labs #coindesk #bitcoin #crypto https://t.co/GeT2krDxA4
1544833589237481472,2022-07-07 00:00:03+00:00,1323280062,One Bitcoin now worth $20543.802. Market Cap $392.117 Billion. Based on #coindesk BPI #bitcoin
1544803385534291974,2022-07-06 22:00:02+00:00,1323280062,One Bitcoin now worth $20334.949. Market Cap $388.130 Billion. Based on #coindesk BPI #bitcoin
1544773190135717888,2022-07-06 20:00:03+00:00,1323280062,One Bitcoin now worth $20294.850. Market Cap $387.363 Billion. Based on #coindesk BPI #bitcoin
1544742991566454784,2022-07-06 18:00:03+00:00,1323280062,One Bitcoin now worth $20244.746. Market Cap $386.404 Billion. Based on #coindesk BPI #bitcoin
1544712790656663558,2022-07-06 16:00:03+00:00,1323280062,One Bitcoin now worth $20145.236. Market Cap $384.504 Billion. Based on #coindesk BPI #bitcoin
1544682589893574659,2022-07-06 14:00:02+00:00,1323280062,One Bitcoin now worth $20192.317. Market Cap $385.401 Billion. Based on #coindesk BPI #bitcoin
